language,id,text,file,node,lineNumber,lock,comment
zh-CN,line:08d9d52,伍德:你也要去南科大朝圣啊。,Assets/Resources/Dialogue/Characters.yarn,wood,4,3c88a0c4,
zh-CN,line:0c55c4c,伍德:现在南科大仍是一片废墟，与世界其他地方没什么不同。,Assets/Resources/Dialogue/Characters.yarn,wood,5,ccb85cc4,
zh-CN,line:0d822b3,伍德:路上一堆危险的妮可梦，想要进入南科大还要拿到几个学科泰斗的徽章。,Assets/Resources/Dialogue/Characters.yarn,wood,6,e9d7a741,
zh-CN,line:018f343,伍德:我曾经尝试过去那个地方，但是失败了。,Assets/Resources/Dialogue/Characters.yarn,wood,7,f01c0d1e,
zh-CN,line:07e941f,伍德:学科泰斗们要求我全年996去实验室做实验，才给我徽章。,Assets/Resources/Dialogue/Characters.yarn,wood,8,53d9deb9,
zh-CN,line:021aaa2,伍德:或许我不适合做科研。,Assets/Resources/Dialogue/Characters.yarn,wood,9,f1fec620,
zh-CN,line:0d488b3,伍德:你或许也应该放弃，在这里躺着不舒服吗？,Assets/Resources/Dialogue/Characters.yarn,wood,10,bf65327f,
zh-CN,line:0bed66a,{0}:都有几个泰斗？,Assets/Resources/Dialogue/Characters.yarn,wood,11,fd42bc5b,
zh-CN,line:03dc687,伍德:让我想想看。,Assets/Resources/Dialogue/Characters.yarn,wood,12,8750c69a,
zh-CN,line:0f5a448,伍德:有计算机、金融、数学、物理...总之很多啦。,Assets/Resources/Dialogue/Characters.yarn,wood,13,81418292,
zh-CN,line:01da310,伍德:每个泰斗都需要你去他实验室做实验，然后用妮可梦打败他们。,Assets/Resources/Dialogue/Characters.yarn,wood,14,ebba7a58,
zh-CN,line:03c509b,伍德:想想就可怕。,Assets/Resources/Dialogue/Characters.yarn,wood,15,3f5dd9a9,
zh-CN,line:0c5dae6,{0}:那我也躺了。,Assets/Resources/Dialogue/Characters.yarn,wood,16,15c5f0ff,
zh-CN,line:0b7efa9,伍德:哼，如果你躺了，这游戏就没法玩了。,Assets/Resources/Dialogue/Characters.yarn,wood,17,4310cfdb,
zh-CN,line:0b1ea3b,伍德:没劲。,Assets/Resources/Dialogue/Characters.yarn,wood,18,6c1b0f6e,
zh-CN,line:042731c,{0}:？？？,Assets/Resources/Dialogue/Characters.yarn,wood,19,5fe665a7,
zh-CN,line:0121714,伍德:想不想来一场紧张刺激的对战？,Assets/Resources/Dialogue/Characters.yarn,wood,20,f5fbb2f1,
zh-CN,line:0bf1a26,伍德:拜托，这是一个宝可梦游戏。,Assets/Resources/Dialogue/Characters.yarn,wood,21,350e40cc,
zh-CN,line:06d86d5,{0}:好耶,Assets/Resources/Dialogue/Characters.yarn,wood,22,38b5ef46,
zh-CN,line:08fa05c,我将用颓丧之心拯救你积极向上的灵魂。,Assets/Resources/Dialogue/Characters.yarn,wood,23,13290e5d,
zh-CN,line:052b9a5,{0}:不好,Assets/Resources/Dialogue/Characters.yarn,wood,25,5fadca3b,
zh-CN,line:00b26ff,好吧，回见。,Assets/Resources/Dialogue/Characters.yarn,wood,26,976b8ef1,
zh-CN,line:00d8553,伍德:想不想来一场紧张刺激的对战？,Assets/Resources/Dialogue/Characters.yarn,wood,28,f5fbb2f1,
zh-CN,line:04e5191,伍德:拜托，这是一个宝可梦游戏。,Assets/Resources/Dialogue/Characters.yarn,wood,29,350e40cc,
zh-CN,line:085929c,{0}:好耶,Assets/Resources/Dialogue/Characters.yarn,wood,30,38b5ef46,
zh-CN,line:0be373f,{0}:不好,Assets/Resources/Dialogue/Characters.yarn,wood,32,5fadca3b,
zh-CN,line:0ee7ba5,好吧，回见。,Assets/Resources/Dialogue/Characters.yarn,wood,33,976b8ef1,
ja,line:00bacc8,,Assets/Resources/Dialogue/Characters.yarn,wood,37,b0029f22,
ja,line:08a0dd0,,Assets/Resources/Dialogue/Characters.yarn,wood,38,353ecbdc,
zh-CN,line:0176c80,测试人:现在测试一下dialogue。,Assets/Resources/Dialogue/Characters.yarn,test_man,46,33ab85fb,
zh-CN,line:065b37e,测试人:现在测试一下option。,Assets/Resources/Dialogue/Characters.yarn,test_man,47,4fd75feb,
zh-CN,line:00dadd5,我是option 1,Assets/Resources/Dialogue/Characters.yarn,test_man,48,387c5a4c,
zh-CN,line:0a35fa2,你点击了option1,Assets/Resources/Dialogue/Characters.yarn,test_man,49,b4b97333,
zh-CN,line:0002e35,这是一个nested option from option 1,Assets/Resources/Dialogue/Characters.yarn,test_man,50,9f03b940,
zh-CN,line:0b73c58,哇哦！你点击了第一个option！你好棒！,Assets/Resources/Dialogue/Characters.yarn,test_man,51,6bc4ae97,
zh-CN,line:0b35e69,这是另一个nested option from option 1,Assets/Resources/Dialogue/Characters.yarn,test_man,52,54a6b025,
zh-CN,line:0610d77,哇哦！你点击了第二个option！你好棒！,Assets/Resources/Dialogue/Characters.yarn,test_man,53,a344188a,
zh-CN,line:05bc7ee,我是option2,Assets/Resources/Dialogue/Characters.yarn,test_man,54,17627f39,
zh-CN,line:0ee04da,你点击了option2,Assets/Resources/Dialogue/Characters.yarn,test_man,55,b76f49df,
zh-CN,line:05e2bf9,这是一个nested option from option 2,Assets/Resources/Dialogue/Characters.yarn,test_man,56,0508cdfd,
zh-CN,line:0c7fade,哇哦！这是第一个option。,Assets/Resources/Dialogue/Characters.yarn,test_man,57,f4655252,
zh-CN,line:09cec47,这是另一个nested option from option 2,Assets/Resources/Dialogue/Characters.yarn,test_man,58,48b469a4,
zh-CN,line:02e0703,哇哦！这是第二个option。,Assets/Resources/Dialogue/Characters.yarn,test_man,59,55a5acd5,
zh-CN,line:0ba561f,哈罗世界:哈罗世界。,Assets/Resources/Dialogue/Characters.yarn,hello,64,5aea0a5d,
zh-CN,line:06f1419,我是battle魔怔人。,Assets/Resources/Dialogue/Characters.yarn,battle_man,70,09d54e39,
ja,line:0fd6630,,Assets/Resources/Dialogue/Characters.yarn,???,76,b8d7ea90,
ja,line:0522f09,,Assets/Resources/Dialogue/Characters.yarn,???,77,51b096d5,
ja,line:0427f25,,Assets/Resources/Dialogue/Characters.yarn,???,78,f2a321b7,
ja,line:03db4bd,,Assets/Resources/Dialogue/Characters.yarn,???,79,6f5389bb,
ja,line:0f2c0ec,,Assets/Resources/Dialogue/Characters.yarn,???,80,83a73d89,
ja,line:091f4b8,,Assets/Resources/Dialogue/Characters.yarn,???,81,1c6818e5,
ja,line:0f69f61,,Assets/Resources/Dialogue/Characters.yarn,???,83,a910042d,
ja,line:0844269,,Assets/Resources/Dialogue/Characters.yarn,???,84,39440761,
ja,line:0fb70aa,,Assets/Resources/Dialogue/Characters.yarn,???,86,b0e7169c,
ja,line:0d0a382,,Assets/Resources/Dialogue/Characters.yarn,???,87,53153a1b,
ja,line:07769e3,,Assets/Resources/Dialogue/Characters.yarn,dooor,94,a9da3427,
ja,line:042c063,,Assets/Resources/Dialogue/Characters.yarn,dooor,95,efa08d90,
ja,line:0b6b6b4,,Assets/Resources/Dialogue/Characters.yarn,dooor,96,c6af3fc5,
ja,line:0b40040,,Assets/Resources/Dialogue/Characters.yarn,dooor,98,d561ad4b,
ja,line:0877f96,,Assets/Resources/Dialogue/Characters.yarn,dooor,100,2c37c72a,
ja,line:00532fe,,Assets/Resources/Dialogue/Characters.yarn,joker,107,a0d5e95d,
ja,line:09d9a78,,Assets/Resources/Dialogue/Characters.yarn,joker,108,10023bf4,
ja,line:053efde,,Assets/Resources/Dialogue/Characters.yarn,joker,109,c7fbeba4,
ja,line:06e20e4,,Assets/Resources/Dialogue/Characters.yarn,joker,110,a0d5e95d,
ja,line:017e2cb,,Assets/Resources/Dialogue/Characters.yarn,joker,111,ab5df625,
ja,line:0d239a1,,Assets/Resources/Dialogue/Characters.yarn,joker,112,a0d5e95d,
ja,line:02e32cb,,Assets/Resources/Dialogue/Characters.yarn,xuan,117,db0d0b04,
ja,line:0d842b0,,Assets/Resources/Dialogue/Characters.yarn,xuan,118,bccc9daf,
ja,line:036b4ee,,Assets/Resources/Dialogue/Characters.yarn,xuan,119,68432aee,
ja,line:01945d8,,Assets/Resources/Dialogue/Characters.yarn,xuan,120,a102d240,
